ossyria0.s.2.1	getAboard
ossyria0.s.3.1	A Estação de Orbis tem muitas plataformas à escolha. Você precisa escolher aquela que vai levar ao destino escolhido. Qual plataforma você vai pegar?\r\n#b#L0# A plataforma para o navio que segue para Ellinia #l\r\n#b#L1#A plataforma do navio que segue para Ludibrium#l#k\r\n#b#L2# A plataforma para Hak, que segue para Leafre#l\r\n#b#L3# A plataforma para Hak, que segue para Mu Lung#l
ossyria0.s.16.1	goDungeon
ossyria0.s.19.1	Outros personagem estão na missão. Converse comigo depois.
ossyria0.s.22.1	Mesmo seu nível sendo alto, é difícil entrar lá. Mas, se mudar de idéia, fale comigo. Afinal, meu dever é proteger este lugar.
ossyria0.s.25.1	Vamos ver, você quer trocar seu #b100 #t
ossyria0.s.28.1	Hmmm... Tem certeza de que coletou #b100 #t
ossyria0.s.31.2	#s#k, aqui está meu #b
ossyria0.s.34.1	Seu inventário de etc. parece estar cheio. Você precisa de espaço livre para trocar comigo! Abra espaço e me encontre…
ossyria0.s.35.1	carlie
ossyria0.s.37.1	O trato é simples. Você consegue algo que preciso e eu arranjo algo que você precisa. O problema é que lido com muita gente. Então, os itens que tenho para oferecer podem mudar cada vez que nos encontrarmos. O que acha? Ainda quer fazer?
ossyria0.s.38.1	Hmmm… não vai ser nada mau para você. Encontre-me na hora certa e você pode conseguir itens muito melhores. Mas me avise quando mudar de idéia.
ossyria0.s.33.4	#(s)#k. O que você acha? Gostou do item que dei em troca? Devo ficar aqui por um tempo, então, se juntar mais itens, estou sempre disposto a negociar...
ossyria0.s.36.1	Ei, tem um tempinho? Bem, meu trabalho é coletar itens aqui e vender em outro lugar, mas ultimamente os monstros têm ficado mais hostis e ficou muito difícil conseguir bons itens... O que você acha? Quer fazer negócio comigo?
