    {19, "新手"}
    {20, "战士"}
    {21, "法师"}
    {22, "弓箭手"}
    {23, "飞侠"}
    {28, "剑客"}
    {29, "勇士"}
    {30, "英雄"}
    {31, "准骑士"}
    {32, "骑士"}
    {33, "圣骑士"}
    {34, "枪战士"}
    {35, "龙骑士"}
    {36, "黑骑士"}
    {38, "巫师"}
    {41, "巫师(火,毒)"}
    {44, "巫师(冰,雷)"}
    {47, "牧师"}
    {48, "祭司"}
    {49, "主教"}
    {51, "猎人"}
    {52, "射手"}
    {54, "弩弓手"}
    {55, "游侠"}
    {56, "箭神"}
    {57, "飞侠"}
    {58, "刺客"}
    {59, "无影人"}
    {61, "侠客"}
    {62, "独行客"}
    {64, "服务器人数已满\r\n请稍后再试！"}
    {67, "请先按检测按钮确认该角色名是否可用。"}
    {68, "身份证号码不正确\r\n请重新输入！"}
    {69, "不能再创建新角色。"}
    {70, "是否删除该角色？"}
    {71, "[创建角色注意事项]\r\n请使用文明用语，否则账号可能受到限制。"}
    {72, "角色名 '%s' 已被使用。"}
    {73, "角色名 '%s' 可以使用。"}
    {74, "发生未知错误\r\n无法进行角色名检测。"}
    {75, "发生未知错误\r\n无法创建新角色。"}
    {76, "无法连接游戏服务器\r\n请稍后再试。"}
    {77, "与游戏服务器连接中断\r\n请稍后再试。"}
    {78, "与游戏服务器连接发生错误\r\n请稍后再试。"}
    {79, "无法连接登录服务器。\r\n\r\n可能是网络未连接，或服务器正在维护。请查看冒险岛官方网站的公告。"}
    {80, "请查看冒险岛官方网站的公告栏。"}
    {81, "与服务器的连接已断开。\r\n请稍后再试。"}
    {82, "本机内存不足。详情请查看官方网站的常见问题。"}
    {83, "本机没有数据文件。\r\n请下载最新版客户端。"}
    {84, "客户端版本错误。请重新安装最新版客户端。"}
    {85, "游戏数据不正确。\r\n请下载最新版客户端。"}
    {86, "客户端版本不正确。\r\n请下载最新版客户端。"}
    {87, "与服务器通信时发生错误。\r\n请稍后再试。"}
    {88, "与其他程序发生资源冲突。\r\n请关闭其它程序后重新启动游戏。若问题依旧，请重启电脑或访问官方网站的客服区。"}
    {89, "与其他程序发生资源冲突。\r\n可能是电脑病毒导致，请先杀毒后再试。"}
    {90, "该 IP 地址无法连接，\r\n或今日的游戏时间已用尽。"}
    {91, "该程序无法与冒险岛同时运行。结束该程序后其数据将不会保存，确定要关闭吗？"}
    {92, "冒险岛错误：动作帧 loadmappper 失败。"}
    {93, "冒险岛错误：载入 employee 失败。"}
    {94, "冒险岛错误：载入怪物失败。"}
    {95, "冒险岛错误：载入变形失败。"}
    {96, "冒险岛错误：载入 NPC 失败。"}
    {97, "冒险岛错误：载入宠物失败。"}
    {98, "冒险岛错误：载入反应物失败。"}
    {99, "冒险岛错误：载入骑宠失败。"}
    {100, "冒险岛错误：Sprite commonslot 失败。"}
    {101, "冒险岛错误：Sprite 初始化失败(空)。"}
    {102, "冒险岛错误：Sprite 初始化失败(未知)。"}
    {103, "冒险岛错误：MapleTV 初始化失败。"}
    {104, "冒险岛错误：任务管理器初始化失败。"}
    {105, "冒险岛错误：道具信息错误。"}
    {106, "冒险岛错误：技能信息错误。"}
    {107, "冒险岛错误：载入怪物技能失败。"}
    {108, "冒险岛错误：载入商品失败。"}
    {109, "冒险岛错误：载入礼包失败。"}
    {110, "冒险岛错误：商城失败(type1)。"}
    {111, "冒险岛错误：商城失败(type2)。"}
    {112, "冒险岛错误：可拖拽道具错误。"}
    {113, "冒险岛错误：employee 错误。"}
    {114, "冒险岛错误：怪物错误。"}
    {115, "冒险岛错误：NPC 错误。"}
    {116, "冒险岛错误：宠物错误。"}
    {117, "冒险岛错误：召唤兽错误。"}
    {118, "冒险岛错误：动作管理错误(type1)。"}
    {119, "冒险岛错误：动作管理错误(type2)。"}
    {121, "/悄悄话"}
    {122, "/组队"}
    {123, "/好友"}
    {124, "/家族"}
    {125, "/联盟"}
    {126, "/夫妻"}
    {127, "/所有人"}
    {128, "/找人"}
    {129, "/交易"}
    {130, "/商店"}
    {131, "/物品移动"}
    {132, "/组队状况"}
    {133, "/组队开启"}
    {134, "/组队离开"}
    {135, "/组队邀请"}
    {136, "/组队退出"}
    {137, "/家族状况"}
    {138, "/家族退出"}
    {143, "请再试一次。"}
    {144, "管理员账号无法使用该功能。"}
    {145, "无法使用"}
    {146, "你向 '%s' 发送了悄悄话"}
